id	exerciseName	description
1	Bulgarian Split Squat	NULL
2	Overhead BB Press	NULL
3	Pendlay Row	NULL
4	SL KB RDL	NULL
5	Deadlift	NULL
6	Zercher Sq	NULL
7	Kneeling Landmine Pr	NULL
8	SA Bench Row	NULL
9	Farmers Carry	NULL
10	Bench Press	NULL
11	Front Squat	NULL
12	EZ Bicep Curl	NULL
13	SA Farmer Carry	NULL
14	Rear Squat	NULL
15	Power Clean	NULL
16	Rear Deltoid	NULL
17	Hanging Leg Raise	NULL
18	Sumo Deadlift	NULL
19	Pull Up	NULL
20	Dips	NULL
21	Weighted Step Up	NULL
22	Ladder - Clean/Press	This is performed by doing 1 clean, followed by the specified press (strict, push or snatch
23	KB Swing	
24	Ladder -- Goblet Squat	
