Date,Excercise,Category,Cadence,Weights,WeightUnit,Comments
"2021-07-28T10:00:00","Sumo Deadlift","High Intensity","1,3,4,1,3,4,2,4","225,225,225,235,235,245,255,255","lb",
"2021-07-28T10:00:00","Pull Up","High Intensity","1,3,4,1,3,4,2,4","Red/Blue","--",
"2021-07-28T10:00:00","Dips","Medium Intensity","3,4,7,3,5,7","Body Weight","--",
"2021-07-28T10:00:00","Weighted Step Up","Low Intensity","4,6,10,4,6,10,4,6","45,55,65,65,65,65,65,65","lb",
"2021-07-29T10:00:00","Ladder - Clean/Press","Medium Intensity","4x(1->3)",14,"kg","superset w/swing",
"2021-07-29T10:00:00","Two Hand KB Swing","Medium Intensity","4x3x10",20,"kg","superset with clean/press",
"2021-07-29T10:00:00","Ladder -- Goblet Squat","Low Intensity","10->1",,"--","superset with back crawl"
"2021-08-02T10:00:00","Rear Squat","High Intensity","1,3,4,1,3,3","185","lb",""
"2021-08-02T10:00:00","Floor Press","Medium Intensity","4,5,7,4,5,7,4,5,7","135,145,145,145,145,135,135,135,135","lb",""
"2021-08-02T10:00:00","SL KB RDL","Low Intensity","4,7,10,4,7,10,4,7,10","28","kg",""
"2021-08-02T10:00:00","Hanging Leg Raise","Low Intensity","4,7,10,4,7,10,4,7,10","Body Weight","--",""
"2021-06-08T10:00:00","Bulgarian Split Squat","High Intensity","6,5,4,3,3","45,45,50,60,65","lb",""
"2021-06-08T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,4","60,65,65,65","lb",""
"2021-06-08T10:00:00","Pendlay Row","Low Intensity","4,6,10,6","95,100,135,135","lb",""
"2021-06-08T10:00:00","SL KB RDL","Low Intensity","4,6,10,6","20,20,20,20","kg",""
"2021-06-10T10:00:00","Overhead BB Press","High Intensity","6,5,4,3,3","75,95,100,105,105","lb",""
"2021-06-10T10:00:00","Pendlay Row","High Intensity","6,5,4,3,3","135,145,155,165,170","lb",""
"2021-06-10T10:00:00","Deadlift","Medium Intensity","3,4,7,4","135,155,185,205","lb",""
"2021-06-10T10:00:00","Zercher Sq","Low Intensity","4,6,10,6","95,95,95,95","lb",""
"2021-06-11T10:00:00","Deadlift","High Intensity","6,5,4,3,3","185,225,250,270,275","lb",""
"2021-06-11T10:00:00","Bulgarian Split Squat","Medium Intensity","3,4,7,4","55,55,55,55","lb",""
"2021-06-11T10:00:00","Kneeling Landmine Pr","Low Intensity","4,6,10,6","10,10,10,10","lb",""
"2021-06-11T10:00:00","SA Bench Row","Low Intensity","4,6,10,6","22,22,22,22","kg",""
"2021-06-15T10:00:00","Bulgarian Split Squat","High Intensity","1,3,1,1,1","60,60,60,70,70","lb",""
"2021-06-15T10:00:00","Farmers Carry","High Intensity","1,1","28,28","kg",""
"2021-06-15T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,3,4,6","95,95,95,95,95,95","lb",""
"2021-06-15T10:00:00","Pendlay Row","Medium Intensity","3,4,7,3,4,6","155,155,155,155,155,155","lb",""
"2021-06-15T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10,4,6","22,22,22,22,22,22,22,22","kg",""
"2021-06-17T10:00:00","Pendlay Row","High Intensity","1,3,1,1,1","155,160,160,175,185","lb",""
"2021-06-17T10:00:00","Overhead BB Press","High Intensity","1,3,1,1,1","100,105,110,110,110","lb",""
"2021-06-17T10:00:00","Deadlift","Medium Intensity","3,4,7,3,4,6","225,225,225,225,225,225","lb",""
"2021-06-17T10:00:00","Zercher Sq","Low Intensity","4,6,10,4,7,10,4,6","100,100,100,100,100,100,100,100","lb",""
"2021-06-18T10:00:00","Deadlift","High Intensity","1,3,1,1","225,245,245,280","lb",""
"2021-06-18T10:00:00","Bulgarian Split Squat","Medium Intensity","3,4,7,3,4,6","60,60,60,60,60,60","lb",""
"2021-06-18T10:00:00","Kneeling Landmine Pr","Low Intensity","4,6,10,4,7,10,4,6","20,20,20,20,10,10,10,10","lb",""
"2021-06-24T10:00:00","Overhead BB Press","High Intensity","1,3,3,1,2","95,105,105,115,115","lb",""
"2021-06-24T10:00:00","Pendlay Row","High Intensity","1,3,3,1,2","155,155,185,188,185","lb",""
"2021-06-24T10:00:00","Deadlift","Medium Intensity","3,5",225,"lb",""
"2021-06-24T10:00:00","Zercher Sq","Low Intensity","4,6,10,7",105,"lb",""
"2021-06-25T10:00:00","Deadlift","High Intensity","1,3,3,1,2","225,255,255,280,20","lb",""
"2021-06-25T10:00:00","Bulgarian Split Squat","Medium Intensity","3,5",65,"lb",""
"2021-06-25T10:00:00","Kneeling Landmine Pr","Low Intensity","4,6,10,7",15,"lb",""
"2021-06-25T10:00:00","SA Bench Row","Low Intensity","4,6,10,7",28,"kg",""
"2021-06-27T10:00:00","Bulgarian Split Squat","High Intensity","1,3,3,1,2","60,65,75,85,85","lb",""
"2021-06-27T10:00:00","Bench Press","Medium Intensity","3,5","155,160","lb",""
"2021-06-27T10:00:00","Front Squat","Medium Intensity","3,5","120,125","lb",""
"2021-06-27T10:00:00","SL KB RDL","Low Intensity","4,6,10,7","28,28,28,32","kg",""
"2021-06-27T10:00:00","EZ Bicep Curl","Low Intensity","4,6,10,7",55,"lb",""
"2021-06-29T10:00:00","Bulgarian Split Squat","High Intensity","1,2,1","85,95,105","lb",""
"2021-06-29T10:00:00","SA Farmer Carry","High Intensity","1,2,1",40,"kg",""
"2021-06-29T10:00:00","Pendlay Row","Medium Intensity","3,4,7,3,4,7,3,7",135,"lb",""
"2021-06-29T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,3,4,7,3,7","85,85,85,85,85,80,80,80","lb",""
"2021-06-29T10:00:00","SL KB RDL","Low Intensity","4,7,10,4,7,10,4,7,10",22,"kg",""
"2021-07-01T10:00:00","Overhead BB Press","High Intensity","1,2,1","100,105,115","lb",""
"2021-07-01T10:00:00","Pendlay Row","High Intensity","1,2,1","135,150,185","lb",""
"2021-07-01T10:00:00","Deadlift","Medium Intensity","3,4,7,3,4,7,3,7",225,"lb",""
"2021-07-01T10:00:00","Zercher Sq","Low Intensity","4,7,10,4,7,10,4,7,10",100,"lb",""
"2021-07-02T10:00:00","Deadlift","High Intensity","1,2,2","240,260,285","lb",""
"2021-07-02T10:00:00","Bulgarian Split Squat","Medium Intensity","3,4,7,3,4,7,3,7",75,"lb",""
"2021-07-02T10:00:00","Kneeling Landmine Pr","Low Intensity","4,7,10,4,7,10,4,7,10",10,"lb",""
"2021-07-02T10:00:00","SA Bench Row","Low Intensity","4,7,10,4,7,10,4,7,10",28,"kg",""
"2021-07-06T10:00:00","Bulgarian Split Squat","High Intensity","1,3,2,1,2","100,105,105,110,110","lb",""
"2021-07-06T10:00:00","Pendlay Row","Medium Intensity","3,4,7,6",150,"lb",""
"2021-07-06T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,6","95,95,85,85","lb",""
"2021-07-06T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10",24,"kg",""
"2021-07-08T10:00:00","Overhead BB Press","High Intensity","1,3,2,1,2","95,105,105,115,115","lb",""
"2021-07-08T10:00:00","Farmers Carry","High Intensity","1,1,1,1",28,"kg",""
"2021-07-08T10:00:00","Deadlift","Medium Intensity","3,4,7,3","255,255,245,245","lb",""
"2021-07-08T10:00:00","Zercher Sq","Low Intensity","4,6,10,4,6,10",105,"lb",""
"2021-07-09T10:00:00","Deadlift","High Intensity","1,3,2,1,2","225,255,265,290,290","lb",""
"2021-07-09T10:00:00","Bulgarian Split Squat","Medium Intensity","3,4,7,3",80,"lb",""
"2021-07-09T10:00:00","Kneeling Landmine Pr","Low Intensity","4,6,10,4,6,10",12.5,"lb",""
"2021-07-09T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10",32,"kg",""
